"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5088","Verify that Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge loads successfully @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge - Regression Tests","Regression Test Suite","",""
"","3138","Verify that 4 Inputs are present on Pay Vi Postpaid Bill Online - Quick & Secure | Vi India @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Pay Vi Postpaid Bill Online - Quick & Secure | Vi India - Regression Tests","Regression Test Suite","",""
"","5867","Verify that VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi loads successfully @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi - Regression Tests","Regression Test Suite","",""
"","4199","Verify that 1 Heading is present on Vi Loan EMI Payment | Quick & Secure Online Payment @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Loan EMI Payment | Quick & Secure Online Payment - Regression Tests","Regression Test Suite","",""
"","9275","Verify that 91 Links are present on Pay Vi Postpaid Bill Online - Quick & Secure | Vi India @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Pay Vi Postpaid Bill Online - Quick & Secure | Vi India - Regression Tests","Regression Test Suite","",""
"","5651","Verify that 1 Table is present on Vi Postpaid Plans with Unlimited Calls & Data | Vi India @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Postpaid Plans with Unlimited Calls & Data | Vi India - Regression Tests","Regression Test Suite","",""
"","3931","Verify that 19 Buttons are present on Vi Loan EMI Payment | Quick & Secure Online Payment @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Loan EMI Payment | Quick & Secure Online Payment - Regression Tests","Regression Test Suite","",""
"","7263","Verify that 11 Headings are present on Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India - Regression Tests","Regression Test Suite","",""
"","10278","Verify that 170 Links are present on How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India @regression","webkit","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India - Regression Tests","Regression Test Suite","",""
"","3545","Verify that Investors Support Information Of Vi (Vodafone Idea Limited) loads successfully @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Investors Support Information Of Vi (Vodafone Idea Limited) - Regression Tests","Regression Test Suite","",""
"","2844","Verify that 5 Buttons are present on Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi) @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi) - Regression Tests","Regression Test Suite","",""
"","6454","Verify that 45 Buttons are present on Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today - Regression Tests","Regression Test Suite","",""
"","9900","Verify that 25 Headings are present on Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim @regression","webkit","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim - Regression Tests","Regression Test Suite","",""
"","5814","Verify that 20 Headings are present on Vi Postpaid Plans with Unlimited Calls & Data | Vi India @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Postpaid Plans with Unlimited Calls & Data | Vi India - Regression Tests","Regression Test Suite","",""
"","11181","Verify that 37 Links are present on Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim - Regression Tests","Regression Test Suite","",""
"","4168","Verify that 23 Buttons are present on Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments - Regression Tests","Regression Test Suite","",""
"","9427","Verify that 5 Buttons are present on Vi Blog | Get Latest News & Information on Vi Network @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Blog | Get Latest News & Information on Vi Network - Regression Tests","Regression Test Suite","",""
"","12161","Verify that 2 Menus are present on Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India - Regression Tests","Regression Test Suite","",""
"","6333","Verify that 4 Headings are present on SonyLIV Subscription Plans with Vi | Watch Movies, Shows & Sports @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - SonyLIV Subscription Plans with Vi | Watch Movies, Shows & Sports - Regression Tests","Regression Test Suite","",""
"","5806","Verify that 37 Inputs are present on Vi Electricity Bill Payment | Quick & Secure Online Payment @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Electricity Bill Payment | Quick & Secure Online Payment - Regression Tests","Regression Test Suite","",""
"","5839","Verify that 1 Input is present on Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today - Regression Tests","Regression Test Suite","",""
"","4220","Verify that 2 Forms are present on Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi - Regression Tests","Regression Test Suite","",""
"","10927","Verify that 5 Buttons are present on Plan Selection Page @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Plan Selection Page - Regression Tests","Regression Test Suite","",""
"","12006","Verify that 52 Headings are present on Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud - Regression Tests","Regression Test Suite","",""
"","3069","Verify that Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process loads successfully @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process - Regression Tests","Regression Test Suite","",""
"","12595","Verify that Enjoy Netflix Subscription Plans with Vi at No Extra Cost loads successfully @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Enjoy Netflix Subscription Plans with Vi at No Extra Cost - Regression Tests","Regression Test Suite","",""
"","6867","Verify that 92 Links are present on Vi Giganet: A smart network powered with AI from Vi @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Giganet: A smart network powered with AI from Vi - Regression Tests","Regression Test Suite","",""
"","5079","Verify that Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi) loads successfully @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi) - Regression Tests","Regression Test Suite","",""
"","5350","Verify that Vi Data Packs - Mobile Data Recharge Plans | Vi India loads successfully @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Data Packs - Mobile Data Recharge Plans | Vi India - Regression Tests","Regression Test Suite","",""
"","4622","Verify that 2 Forms are present on Pay for Insurance Online with Vi – Fast & Secure Payment @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Pay for Insurance Online with Vi – Fast & Secure Payment - Regression Tests","Regression Test Suite","",""
"","6021","Verify that 1 Form is present on Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G - Regression Tests","Regression Test Suite","",""
"","11625","Verify that 55 Inputs are present on Check Vi SIM Status Online | Track Your Connection & Orders @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Check Vi SIM Status Online | Track Your Connection & Orders - Regression Tests","Regression Test Suite","",""
"","26623","Verify that 93 Links are present on Vi Product & Services FAQs, Frequently Asked Questions @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Product & Services FAQs, Frequently Asked Questions - Regression Tests","Regression Test Suite","",""
"","6958","Verify that 3 Menus are present on Vi Data Packs - Mobile Data Recharge Plans | Vi India @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Data Packs - Mobile Data Recharge Plans | Vi India - Regression Tests","Regression Test Suite","",""
"","6920","Verify that 3 Inputs are present on WiFi Calling on Vi: Choose VoWiFi for Better Voice Quality @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - WiFi Calling on Vi: Choose VoWiFi for Better Voice Quality - Regression Tests","Regression Test Suite","",""
"","6628","Verify that 58 Inputs are present on Privacy Policy | Vi @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Privacy Policy | Vi - Regression Tests","Regression Test Suite","",""
"","11619","Verify that 2 Menus are present on Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim - Regression Tests","Regression Test Suite","",""
"","12088","Verify that 24 Buttons are present on Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india - Regression Tests","Regression Test Suite","",""
